Player_ID,Encrypted_Name,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,49-Home,49-Away,50-Home,50-Away,51-Home,51-Away,52-Home,52-Away,53-Home,53-Away,54-Home,54-Away,55-Home,55-Away,56-Home,56-Away,57-Home,57-Away,58-Home,58-Away,59-Home,59-Away,60-Home,60-Away,61-Home,61-Away,62-Home,62-Away,63-Home,63-Away,64-Home,64-Away,winner,second,third
1,38ec07443ea9368403f62411dcbb300ba270bb5cd61588381e01e22a05adb008,Netherlands,Senegal,England,US,Argentina,Poland,France,Denmark,Germany,Spain,Croatia,Belgium,Brazil,Switzerland,Uruguay,Portugal,Netherlands,US,Argentina,Denmark,England,Senegal,France,Poland,Germany,Belgium,Brazil,Portugal,Croatia,Spain,Uruguay,Switzerland,Netherlands,Argentina,Germany,Brazil,France,England,Croatia,Uruguay,Argentina,Brazil,France,Uruguay,Brazil,Uruguay,Argentina,France,Argentina,France,Uruguay
2,772c22e44cebd29cba334b88a511c139f84971cd08b8989c3edc408fdf76f797,Netherlands,Senegal,England,US,Argentina,Poland,France,Denmark,Germany,Spain,Croatia,Belgium,Brazil,Switzerland,Portugal,Uruguay,Netherlands,US,Argentina,Denmark,England,Senegal,France,Poland,Germany,Belgium,Brazil,Uruguay,Croatia,Spain,Portugal,Switzerland,Netherlands,Argentina,Germany,Brazil,France,England,Croatia,Portugal,Argentina,Brazil,England,Croatia,Argentina,Croatia,Brazil,England,England,Brazil,Argentina
3,125f64e756e448257bc9863e99923f98e602f724e4bade5eab78e12eb5d1ef1e,Netherlands,Ecuador,England,US,Argentina,Mexico,France,Denmark,Spain,Germany,Belgium,Croatia,Brazil,Switzerland,Portugal,Uruguay,Netherlands,US,Argentina,Denmark,England,Ecuador,France,Mexico,Spain,Croatia,Brazil,Uruguay,Belgium,Germany,Portugal,Switzerland,US,"",Spain,Brazil,France,England,Germany,Portugal,Argentina,Brazil,France,Germany,Argentina,Germany,Brazil,France,Brazil,France,Germany
4,2022b2e18fbfe9cc10748775c3e60832543c1c55e9d3635f32d453d21807af51,Netherlands,Qatar,England,Wales,Argentina,Poland,France,Denmark,Spain,Germany,Belgium,Croatia,Brazil,Serbia,Portugal,Ghana,Netherlands,Wales,Argentina,Denmark,England,Qatar,France,Poland,Spain,Croatia,Brazil,Ghana,Belgium,Germany,Portugal,Serbia,Netherlands,Argentina,Spain,Brazil,France,England,Belgium,Portugal,Netherlands,Spain,France,Portugal,Netherlands,France,Spain,Portugal,Spain,Portugal,France
5,8ed7a4700e25b60de58a803a2ddcc6e37236c29854a876c2024d6daf6e7b5640,Netherlands,Ecuador,England,US,Argentina,Mexico,France,Australia,Germany,Spain,Canada,Belgium,Brazil,Serbia,Portugal,Uruguay,Netherlands,US,Argentina,Australia,England,Ecuador,France,Mexico,Germany,Belgium,Brazil,Uruguay,Canada,Spain,Portugal,Serbia,US,Argentina,Germany,Brazil,France,England,Spain,Portugal,Argentina,Germany,France,Portugal,Argentina,Portugal,Germany,France,Germany,France,Portugal
6,af951a13a676f58937d74e9a121082fcbff08e27043f270a97e44129f92a9cd0,Senegal,Netherlands,England,Wales,Argentina,Poland,France,Denmark,Spain,Germany,Belgium,Croatia,Brazil,Serbia,Portugal,Uruguay,Senegal,Wales,Argentina,Denmark,England,Netherlands,France,Poland,Spain,Croatia,Brazil,Uruguay,Belgium,Germany,Portugal,Serbia,Senegal,Argentina,Spain,Brazil,France,England,Germany,Portugal,Argentina,Brazil,France,Portugal,Brazil,France,Argentina,Portugal,Argentina,Portugal,Brazil
7,4f3eabe2782e73c68febf212d535e6f7432de1753edde5c8dd04d825cf948251,Netherlands,Senegal,England,Wales,Argentina,Mexico,Denmark,France,Germany,Costa Rica,Belgium,Croatia,Brazil,Switzerland,Uruguay,Portugal,Netherlands,Wales,Argentina,France,England,Senegal,Denmark,Mexico,Germany,Croatia,Brazil,Portugal,Belgium,Costa Rica,Uruguay,Switzerland,Netherlands,Argentina,Germany,Brazil,Mexico,England,Belgium,Uruguay,Netherlands,Brazil,England,Belgium,Brazil,Belgium,Netherlands,England,Netherlands,England,Belgium
8,71ffab8984f16f1639b113dd92d4e171b49e3688735773b4cf325e44a64ed644,Netherlands,Senegal,England,Wales,Argentina,Mexico,France,Denmark,Spain,Germany,Belgium,Canada,Brazil,Switzerland,Portugal,Uruguay,Netherlands,Wales,Argentina,Denmark,England,Senegal,France,Mexico,Spain,Canada,Brazil,Uruguay,Belgium,Germany,Portugal,Switzerland,Netherlands,Argentina,Germany,Brazil,France,England,Belgium,Portugal,Argentina,Brazil,France,Belgium,Argentina,France,Brazil,Belgium,Brazil,Belgium,Argentina
9,e3e4480531d6677068e5d8e1c82c1d5e9834ed82cb5c29014df017e0adc1aae4,Netherlands,Senegal,England,US,Argentina,Poland,France,Denmark,Germany,Spain,Belgium,Croatia,Brazil,Serbia,Portugal,Uruguay,Netherlands,US,Argentina,Denmark,England,Senegal,France,Poland,Germany,Croatia,Brazil,Uruguay,Belgium,Spain,Portugal,Serbia,Netherlands,Argentina,Germany,Brazil,France,England,Spain,Portugal,Argentina,Germany,France,Spain,Argentina,Spain,Germany,France,Germany,France,Spain
10,f651af8b07e29c265f80ddea7f44200f9f61ac6dde5589aaaa1e8299220b057c,Netherlands,Senegal,England,US,Argentina,Mexico,France,Denmark,Spain,Germany,Belgium,Canada,Brazil,Switzerland,Portugal,Uruguay,Netherlands,US,Argentina,Denmark,England,Senegal,France,Mexico,Spain,Canada,Brazil,Uruguay,Belgium,Germany,Portugal,Switzerland,Netherlands,Argentina,Canada,Brazil,France,Senegal,Germany,Portugal,Argentina,Brazil,France,Germany,Brazil,France,Argentina,Germany,Brazil,France,Argentina
